21 37
......###############################
......#                             #
......#                             #
......#                             #
......#                             #
......#                             #
......#                             #
......#                             #
......#                             #
......#                             #
......#              &              #
......#                             #
......#                             #
......#                             #
......#                             #
......#                             #
......#                             #
......#                             #
......#                             #
......#                             #
......###############################
